city,township,area_name,edit_date,change_date,old_address,new_address,edit_type,query_city,query_township,query_date_start,query_date_end,source_url,source_page,source_row_index,scraped_at,row_hash
臺北市,中正區,臺北市中正區,民國114年7月9日,民國114年7月9日,,東門里008鄰紹興南街２２號二樓之１,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,35,2026-06-18T08:31:20.454849+00:00,db30190ddcee3f457a5ea45e4dd2fb2bb35ead84e8578857b7366bc41b81d1a9
臺北市,中正區,臺北市中正區,民國114年7月9日,民國114年7月9日,,東門里008鄰紹興南街２２號三樓之１,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,36,2026-06-18T08:31:20.457241+00:00,86a48ceb618933026202694f913669176a7d5fe6ba9f36a16605d3028518cd54
臺北市,中正區,臺北市中正區,民國114年7月9日,民國114年7月9日,,東門里008鄰紹興南街２２號四樓之１,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,37,2026-06-18T08:31:20.459944+00:00,1f2033385b58c955a0f5efc894f84c2a651257e80177a1f574081b138a1f8cca
臺北市,中正區,臺北市中正區,民國114年7月9日,民國114年7月9日,,東門里008鄰紹興南街２２號七樓之１,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,38,2026-06-18T08:31:20.462637+00:00,1139a163858d68f5ca50ecddd325111efd116a64b90c417b359791d88c16ac0f
臺北市,中正區,臺北市中正區,民國114年7月9日,民國114年7月9日,,東門里008鄰紹興南街２２號六樓,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,39,2026-06-18T08:31:20.465240+00:00,ad746224177f31a622e0818377f4eaacbc23c6542b68281f59bca77e4e5342ad
臺北市,中正區,臺北市中正區,民國114年7月9日,民國114年7月9日,,東門里008鄰紹興南街２２號四樓,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,40,2026-06-18T08:31:20.468143+00:00,75c1ceb6104d345195568ed1b9133481dbd9075ef6e337ff47c6378959c90e5f
臺北市,中正區,臺北市中正區,民國114年7月9日,民國114年7月9日,,東門里008鄰紹興南街２２號六樓之１,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,41,2026-06-18T08:31:20.470484+00:00,c5c922e770a40e523aa13cca0aed62e5bec6377861574e20347e180193dae4e8
臺北市,中正區,臺北市中正區,民國114年7月9日,民國114年7月9日,,東門里008鄰紹興南街２２號十樓之１,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,42,2026-06-18T08:31:20.473125+00:00,ce9e1e6c0cbd6b55b7b20487202c6d7b6788e0e00ff3b76965a85e6318866c6b
臺北市,中正區,臺北市中正區,民國114年7月9日,民國114年7月9日,,東門里008鄰紹興南街２２號八樓,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,43,2026-06-18T08:31:20.475588+00:00,b95f8c24ac9a549e1367901b8901f6a83686316a3208a964c919c3b67641fc21
臺北市,中正區,臺北市中正區,民國114年7月9日,民國114年7月9日,,東門里008鄰紹興南街２２號八樓之１,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,44,2026-06-18T08:31:20.478606+00:00,815262cb2cd4c28e76b626790b336014f2e41f88d49d8ea9577db63e2887b90f
臺北市,中正區,臺北市中正區,民國114年7月9日,民國114年7月9日,,東門里008鄰紹興南街２２號九樓,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,45,2026-06-18T08:31:20.480952+00:00,2b6ba128fa852232fb832a96a49d317b3be5afbfdef8e0f4f747efef189eaaef
臺北市,中正區,臺北市中正區,民國114年7月9日,民國114年7月9日,,東門里008鄰紹興南街２２號十樓,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,46,2026-06-18T08:31:20.483387+00:00,00c9e8e7e43abbf8c24c762caf8ed8f6f2e308571a4748a781c6650bafe9f868
臺北市,中正區,臺北市中正區,民國114年7月9日,民國114年7月9日,,東門里008鄰紹興南街２２號九樓之１,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,47,2026-06-18T08:31:20.485747+00:00,642aaae69e5c1c196de2b40675440a4061fcaef2fe06905d1c47d1de6b051b3a
臺北市,中正區,臺北市中正區,民國114年7月9日,民國114年7月9日,,東門里008鄰紹興南街２２號五樓之１,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,48,2026-06-18T08:31:20.487838+00:00,afde0379c11cdbcd398512d9a1dd443ddd1f49290c177d1ef1897a6308074661
臺北市,中正區,臺北市中正區,民國114年6月25日,民國114年6月25日,,忠勤里031鄰西藏路６５號,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,49,2026-06-18T08:31:20.490469+00:00,ec2bbb1da18e62361eba78bbf72cc6d24290c1e4c9e88c64efbadd6e1ca0b988
臺北市,中正區,臺北市中正區,民國114年6月17日,民國114年6月17日,,永昌里016鄰詔安街２４８號十樓之２,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,50,2026-06-18T08:31:20.492619+00:00,5263c0a1e19f93f2d8e9a61f46715ce673aa82cd8c7f81e5b36ef23bdd5c1fef
臺北市,中正區,臺北市中正區,民國114年6月17日,民國114年6月17日,,永昌里016鄰詔安街２４８號十一樓之２,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,2,1,2026-06-18T08:31:21.023187+00:00,8a9496df9e424a670c38882c60fa98e6a93afcf65dbe227e360f58562700a68a
